Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
170,Russian Federation,0.0416,Niger,0.1004,St. Lucia,0.1413
171,Sierra Leone,0.0377,Afghanistan,0.0957,Zimbabwe,0.1389
172,"Iran, Islamic Rep.",0.0355,Pakistan,0.0935,Benin,0.137
173,Burkina Faso,0.0344,Guinea-Bissau,0.0912,Afghanistan,0.1323
174,South Sudan,0.0253,Kosovo,0.0866,India,0.1306
175,Nauru,0.0245,Haiti,0.0841,Cameroon,0.1239
176,Turkmenistan,0.0229,Eritrea,0.0798,Bahrain,0.1155
177,Niger,0.0206,Syrian Arab Republic,0.0792,Central African Republic,0.1152
178,Uzbekistan,0.0189,Bahrain,0.0776,Burkina Faso,0.1136
179,Sudan,0.0119,Djibouti,0.0766,Kosovo,0.1091
180,Guinea-Bissau,0.0115,"Congo, Rep.",0.0749,"Iran, Islamic Rep.",0.1035
181,India,0.0114,Oman,0.0748,Mauritania,0.1002
182,Eritrea,0.0108,Saudi Arabia,0.074,Haiti,0.0972
183,Iraq,0.0101,"Iran, Islamic Rep.",0.0693,Eritrea,0.0971
184,Libya,-0.0008,India,0.0668,Sudan,0.087
185,Senegal,-0.0127,Palau,0.0578,South Sudan,0.0826
186,Angola,-0.0133,South Sudan,0.0548,Iraq,0.069
187,Mauritania,-0.0248,Iraq,0.0469,Gabon,0.0572
188,Gabon,-0.0268,Libya,0.0458,"Congo, Rep.",0.0561
189,"Yemen, Rep.",-0.0319,Mauritania,0.0281,Syrian Arab Republic,0.021
190,"Congo, Rep.",-0.0565,Gabon,0.0082,Libya,0.0089
191,Chad,-0.0568,Chad,-0.0343,Somalia,0.0037
192,Somalia,-0.1007,"Yemen, Rep.",-0.0365,Chad,-0.0032
193,Equatorial Guinea,-0.1193,Equatorial Guinea,-0.0671,Equatorial Guinea,-0.0094
194,"Congo, Dem. Rep.",-0.1211,Somalia,-0.0776,"Yemen, Rep.",-0.0255
